path,npy_path,gender_label,age_label
common_voice_en_36455480.mp3,processed_spectrograms/common_voice_en_36455480.npy,0,1
common_voice_en_36415008.mp3,processed_spectrograms/common_voice_en_36415008.npy,0,3
common_voice_en_35714315.mp3,processed_spectrograms/common_voice_en_35714315.npy,0,3
common_voice_en_36507276.mp3,processed_spectrograms/common_voice_en_36507276.npy,0,1
common_voice_en_36453451.mp3,processed_spectrograms/common_voice_en_36453451.npy,1,3
common_voice_en_36068063.mp3,processed_spectrograms/common_voice_en_36068063.npy,0,4
common_voice_en_35400504.mp3,processed_spectrograms/common_voice_en_35400504.npy,1,6
common_voice_en_35779896.mp3,processed_spectrograms/common_voice_en_35779896.npy,0,0
common_voice_en_36303154.mp3,processed_spectrograms/common_voice_en_36303154.npy,1,2
common_voice_en_35582639.mp3,processed_spectrograms/common_voice_en_35582639.npy,1,1
common_voice_en_36355046.mp3,processed_spectrograms/common_voice_en_36355046.npy,1,1
common_voice_en_35194178.mp3,processed_spectrograms/common_voice_en_35194178.npy,0,3
common_voice_en_35624848.mp3,processed_spectrograms/common_voice_en_35624848.npy,1,1
common_voice_en_36003968.mp3,processed_spectrograms/common_voice_en_36003968.npy,0,2
common_voice_en_36389291.mp3,processed_spectrograms/common_voice_en_36389291.npy,0,2
common_voice_en_35177972.mp3,processed_spectrograms/common_voice_en_35177972.npy,0,1
common_voice_en_35328182.mp3,processed_spectrograms/common_voice_en_35328182.npy,0,0
common_voice_en_35376669.mp3,processed_spectrograms/common_voice_en_35376669.npy,1,2
common_voice_en_35576178.mp3,processed_spectrograms/common_voice_en_35576178.npy,1,1
common_voice_en_35016253.mp3,processed_spectrograms/common_voice_en_35016253.npy,1,1
common_voice_en_36398479.mp3,processed_spectrograms/common_voice_en_36398479.npy,0,4
common_voice_en_35303114.mp3,processed_spectrograms/common_voice_en_35303114.npy,0,0
common_voice_en_35442285.mp3,processed_spectrograms/common_voice_en_35442285.npy,0,1
common_voice_en_35089710.mp3,processed_spectrograms/common_voice_en_35089710.npy,0,1
common_voice_en_35517087.mp3,processed_spectrograms/common_voice_en_35517087.npy,0,3
common_voice_en_36498907.mp3,processed_spectrograms/common_voice_en_36498907.npy,1,0
common_voice_en_36321184.mp3,processed_spectrograms/common_voice_en_36321184.npy,0,3
common_voice_en_36340267.mp3,processed_spectrograms/common_voice_en_36340267.npy,1,5
common_voice_en_35107728.mp3,processed_spectrograms/common_voice_en_35107728.npy,1,1
common_voice_en_35334423.mp3,processed_spectrograms/common_voice_en_35334423.npy,0,1
common_voice_en_36376464.mp3,processed_spectrograms/common_voice_en_36376464.npy,0,1
common_voice_en_35260777.mp3,processed_spectrograms/common_voice_en_35260777.npy,0,4
common_voice_en_35085265.mp3,processed_spectrograms/common_voice_en_35085265.npy,0,1
common_voice_en_36493729.mp3,processed_spectrograms/common_voice_en_36493729.npy,0,0
common_voice_en_35193344.mp3,processed_spectrograms/common_voice_en_35193344.npy,0,1
